1000,
 470, 530,
 236, 490, 274,
 123, 368, 375, 134,
  68, 214, 395, 260,  63,
  32, 141, 315, 315, 175,  22,
  16,  86, 224, 310, 253, 101,  10,
   6,  45, 170, 253, 285, 181,  54,   6,
   3,  20, 101, 224, 277, 232, 108,  31,   4,
   3,   9,  64, 145, 256, 276, 162,  61,  22,   2,
